Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
Kepler-900,1,1,77.558,Godzilla Galaxy,,,,,,,,,,,
Kepler-901,1,1,258.769,Malin 1,,,,,,,,,,,
Kepler-902,1,1,47.941,Hoag's Object,,,,,,,,,,,
Kepler-903,1,2,159.761,Meathook Galaxy,,,,,,,,,,,
Kepler-904,1,1,264.742,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-905,1,1,225.414,Porpoise Galaxy,,,,,,,,,,,
Kepler-906,1,1,126.367,Medusa Merger,,,,,,,,,,,
Kepler-907,1,1,27.525,Fireworks Galaxy,,,,,,,,,,,
Kepler-908,3,1,193.005,Sunflower Galaxy,,,,,,,,,,,
Kepler-909,1,1,130.819,Comet Galaxy,,,,,,,,,,,
Kepler-91,1,1,168.068,Cosmos Redshift 7,,,,,,,,,,,
Kepler-910,1,1,1.112,Cosmos Redshift 7,,,,,,,,,,,
Kepler-911,1,1,92.246,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-912,1,1,218.802,Malin 1,,,,,,,,,,,
Kepler-913,1,2,180.718,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-914,1,1,79.134,Comet Galaxy,,,,,,,,,,,
Kepler-915,1,1,41.445,Antennae Galaxies,,,,,,,,,,,
Kepler-916,1,1,170.117,Cartwheel Galaxy,,,,,,,,,,,
Kepler-917,1,1,280.839,Black Eye Galaxy,,,,,,,,,,,
Kepler-918,1,1,28.794,Medusa Merger,,,,,,,,,,,
Kepler-919,1,1,208.991,Small Magellanic Cloud,,,,,,,,,,,
Kepler-92,1,3,67.206,Barnard's Galaxy,,,,,,,,,,,
Kepler-920,1,2,148.719,Mice Galaxies,,,,,,,,,,,
Kepler-921,1,1,7.294,Bear Paw Galaxy,,,,,,,,,,,
Kepler-922,1,1,280.896,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-923,1,1,284.437,Peekaboo Galaxy,,,,,,,,,,,
Kepler-924,1,1,145.643,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-925,1,1,170.802,Starfish Galaxy,,,,,,,,,,,
Kepler-926,1,1,89.404,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-927,1,1,151.665,Antennae Galaxies,,,,,,,,,,,
Kepler-928,1,1,230.706,Hidden Galaxy,,,,,,,,,,,
Kepler-929,1,1,184.211,Paramecium Galaxy,,,,,,,,,,,
Kepler-93,1,2,154.026,Hidden Galaxy,,,,,,,,,,,
Kepler-930,1,1,281.617,Porphyrion,,,,,,,,,,,
Kepler-931,1,1,155.004,Godzilla Galaxy,,,,,,,,,,,
Kepler-932,1,1,198.506,Helix Galaxy,,,,,,,,,,,
Kepler-933,1,1,112.234,UFO Galaxy,,,,,,,,,,,
Kepler-934,1,1,15.125,Condor Galaxy,,,,,,,,,,,
Kepler-935,1,1,279.483,Knife Edge Galaxy,,,,,,,,,,,
Kepler-936,1,1,268.586,Comet Galaxy,,,,,,,,,,,
Kepler-937,1,2,141.97,Spiderweb Galaxy,,,,,,,,,,,
Kepler-938,1,1,231.107,Andromeda Galaxy,,,,,,,,,,,
Kepler-939,1,1,46.783,Hoag's Object,,,,,,,,,,,
Kepler-94,1,2,260.199,Antennae Galaxies,,,,,,,,,,,
Kepler-940,1,1,267.536,Porphyrion,,,,,,,,,,,
Kepler-941,1,1,34.74,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-942,1,1,284.455,Cosmos Redshift 7,,,,,,,,,,,
Kepler-943,1,1,188.238,Hoag's Object,,,,,,,,,,,
Kepler-944,1,1,4.048,Fried Egg Galaxy,,,,,,,,,,,
Kepler-945,1,1,263.773,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-946,1,1,126.15,Skyrocket Galaxy,,,,,,,,,,,
Kepler-947,1,1,119.979,Triangulum Galaxy,,,,,,,,,,,
Kepler-948,1,1,18.15,Needle Galaxy,,,,,,,,,,,
Kepler-949,1,2,201.822,Cocoon Galaxy,,,,,,,,,,,
Kepler-95,1,1,181.002,Sculptor Galaxy,,,,,,,,,,,
Kepler-950,1,1,12.904,Mice Galaxies,,,,,,,,,,,
Kepler-951,2,1,172.437,Sculptor Galaxy,,,,,,,,,,,
Kepler-952,1,1,24.836,Comet Galaxy,,,,,,,,,,,
Kepler-953,1,2,176.859,Cigar Galaxy,,,,,,,,,,,
Kepler-954,1,1,91.937,Porphyrion,,,,,,,,,,,
Kepler-955,1,1,120.337,Fireworks Galaxy,,,,,,,,,,,
Kepler-956,1,1,138.194,Butterfly Galaxies,,,,,,,,,,,
Kepler-957,1,1,204.936,Small Magellanic Cloud,,,,,,,,,,,
Kepler-958,1,1,54.526,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-959,1,1,153.029,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-96,1,1,91.961,Starfish Galaxy,,,,,,,,,,,
Kepler-960,1,1,82.746,Andromeda Galaxy,,,,,,,,,,,
Kepler-961,1,1,1.318,Alcyoneus,,,,,,,,,,,
Kepler-962,1,1,235.289,Mayall's Object,,,,,,,,,,,
Kepler-963,1,2,204.546,Large Magellanic Cloud,,,,,,,,,,,
Kepler-964,1,1,165.478,Small Magellanic Cloud,,,,,,,,,,,
Kepler-965,1,1,43.166,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-966,1,1,107.403,Meathook Galaxy,,,,,,,,,,,
Kepler-967,1,2,193.527,Cartwheel Galaxy,,,,,,,,,,,
Kepler-969,1,2,233.95,Eye of Sauron,,,,,,,,,,,
Kepler-97,1,2,80.947,Porphyrion,,,,,,,,,,,
Kepler-970,2,1,187.673,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-971,1,1,155.085,Malin 1,,,,,,,,,,,
Kepler-972,1,1,13.185,Cigar Galaxy,,,,,,,,,,,
Kepler-973,1,1,87.372,Eye of Sauron,,,,,,,,,,,
Kepler-974,1,1,202.713,Backward Galaxy,,,,,,,,,,,
Kepler-975,1,2,252.404,Bear Paw Galaxy,,,,,,,,,,,
Kepler-976,1,1,2.071,Malin 1,,,,,,,,,,,
Kepler-977,1,1,184.424,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-978,1,1,4.481,Godzilla Galaxy,,,,,,,,,,,
Kepler-979,1,1,236.137,Hidden Galaxy,,,,,,,,,,,
Kepler-98,1,1,283.272,Cartwheel Galaxy,,,,,,,,,,,
Kepler-980,1,1,227.126,Grasshopper,,,,,,,,,,,
Kepler-981,1,1,59.78,Backward Galaxy,,,,,,,,,,,
Kepler-982,1,1,29.22,Fireworks Galaxy,,,,,,,,,,,
Kepler-983,1,1,145.234,Butterfly Galaxies,,,,,,,,,,,
Kepler-984,1,1,251.661,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-985,1,1,116.43,Sunflower Galaxy,,,,,,,,,,,
Kepler-986,1,1,297.532,Mice Galaxies,,,,,,,,,,,
Kepler-987,1,1,10.476,Blinking Galaxy,,,,,,,,,,,
Kepler-988,1,1,280.497,Spider Galaxy,,,,,,,,,,,
Kepler-989,1,1,234.404,Small Magellanic Cloud,,,,,,,,,,,
Kepler-99,2,1,206.534,Alcyoneus,,,,,,,,,,,
Kepler-990,1,2,124.978,Sculptor Galaxy,,,,,,,,,,,
Kepler-991,1,1,224.44,Alcyoneus,,,,,,,,,,,
Kepler-992,1,1,83.658,Hidden Galaxy,,,,,,,,,,,
Kepler-993,1,1,47.128,Large Magellanic Cloud,,,,,,,,,,,
Kepler-994,1,1,199.376,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-995,1,1,38.237,Backward Galaxy,,,,,,,,,,,
Kepler-996,1,1,231.279,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-997,1,1,4.72,Sunflower Galaxy,,,,,,,,,,,
Kepler-998,1,1,91.573,Fried Egg Galaxy,,,,,,,,,,,
Kepler-999,1,1,168.137,Blinking Galaxy,,,,,,,,,,,
L 168-9,1,1,272.178,Comet Galaxy,,,,,,,,,,,
L 363-38,1,1,153.283,Topsy Turvy Galaxy,,,,,,,,,,,
L 98-59,1,4,226.193,Hockey Stick Galaxies,,,,,,,,,,,
LHS 1140,1,2,225.114,Knife Edge Galaxy,,,,,,,,,,,
LHS 1478,1,1,0.55,Andromeda Galaxy,,,,,,,,,,,
LHS 1678,2,3,295.05,Cosmos Redshift 7,,,,,,,,,,,
LHS 1815,1,1,248.211,Black Eye Galaxy,,,,,,,,,,,
LHS 3154,1,1,6.037,Andromeda Galaxy,,,,,,,,,,,
LHS 3844,1,1,289.29,Condor Galaxy,,,,,,,,,,,
LHS 475,1,1,74.271,Comet Galaxy,,,,,,,,,,,
LP 714-47,1,1,42.155,Triangulum Galaxy,,,,,,,,,,,
LP 791-18,1,3,157.853,Black Eye Galaxy,,,,,,,,,,,
LP 890-9,1,2,289.427,Grasshopper,,,,,,,,,,,
LSPM J2116+0234,1,1,274.4,Sombrero Galaxy,,,,,,,,,,,
LTT 1445 A,3,2,274.32,Cigar Galaxy,,,,,,,,,,,
LTT 3780,2,2,89.054,Comet Galaxy,,,,,,,,,,,
LTT 9779,1,1,160.065,Grasshopper,,,,,,,,,,,
LkCa 15,1,2,215.464,Cosmos Redshift 7,,,,,,,,,,,
Luhman 16 A,1,1,97.303,Tadpole Galaxy,,,,,,,,,,,
Lupus-TR-3,1,1,53.725,Circinus Galaxy,,,,,,,,,,,
M62H,1,1,167.699,Milky Way,,,,,,,,,,,
MASCARA-1,1,1,37.088,Meathook Galaxy,,,,,,,,,,,
MASCARA-4,2,1,192.204,Sculptor Galaxy,,,,,,,,,,,
MOA-2007-BLG-192L,1,1,277.971,Cosmos Redshift 7,,,,,,,,,,,
MOA-2007-BLG-400L,1,1,68.447,Butterfly Galaxies,,,,,,,,,,,
MOA-2008-BLG-310L,1,1,179.449,Topsy Turvy Galaxy,,,,,,,,,,,
MOA-2008-BLG-379L,1,1,184.202,Hockey Stick Galaxies,,,,,,,,,,,
MOA-2009-BLG-266L,1,1,170.711,Hoag's Object,,,,,,,,,,,
MOA-2009-BLG-319L,1,1,131.825,Sculptor Galaxy,,,,,,,,,,,
MOA-2009-BLG-387L,1,1,262,Grasshopper,,,,,,,,,,,
MOA-2010-BLG-073L,1,1,285.319,Cosmos Redshift 7,,,,,,,,,,,
MOA-2010-BLG-117L,1,1,167.592,Topsy Turvy Galaxy,,,,,,,,,,,
MOA-2010-BLG-328L,1,1,274.47,Porphyrion,,,,,,,,,,,
MOA-2010-BLG-353L,1,1,132.004,Andromeda Galaxy,,,,,,,,,,,
MOA-2010-BLG-477L,1,1,4.992,Helix Galaxy,,,,,,,,,,,
MOA-2011-BLG-028L,1,1,215.345,Meathook Galaxy,,,,,,,,,,,
MOA-2011-BLG-262L,1,1,13.384,Southern Pinwheel Galaxy,,,,,,,,,,,
MOA-2011-BLG-291L,1,1,261.758,Sombrero Galaxy,,,,,,,,,,,
MOA-2011-BLG-293L,1,1,230.136,Antennae Galaxies,,,,,,,,,,,
MOA-2011-BLG-322L,1,1,34.87,Godzilla Galaxy,,,,,,,,,,,
MOA-2012-BLG-006L,1,1,197.225,Wolf-Lundmark-Melotte,,,,,,,,,,,
MOA-2012-BLG-505L,1,1,44.557,Meathook Galaxy,,,,,,,,,,,
MOA-2013-BLG-220L,1,1,178.621,Grasshopper,,,,,,,,,,,
MOA-2013-BLG-605L,1,1,291.946,Hoag's Object,,,,,,,,,,,
MOA-2015-BLG-337L,1,1,285.104,Hoag's Object,,,,,,,,,,,
MOA-2016-BLG-227L,1,1,190.316,Cosmos Redshift 7,,,,,,,,,,,
MOA-2016-BLG-319L,1,1,226.525,Godzilla Galaxy,,,,,,,,,,,
MOA-2016-BLG-526L,1,1,231.515,Circinus Galaxy,,,,,,,,,,,
MOA-2019-BLG-008L,1,1,82.235,Bode's Galaxy,,,,,,,,,,,
MOA-2020-BLG-135L,1,1,200.354,Helix Galaxy,,,,,,,,,,,
MOA-2020-BLG-208L,1,1,184.5,Barnard's Galaxy,,,,,,,,,,,
MOA-2022-BLG-249L,1,1,175.619,Porphyrion,,,,,,,,,,,
MOA-2022-BLG-563L,1,1,157.716,Sombrero Galaxy,,,,,,,,,,,
MOA-bin-1L,1,1,148.627,Starfish Galaxy,,,,,,,,,,,
MOA-bin-29,1,1,9.087,Southern Pinwheel Galaxy,,,,,,,,,,,
MWC 758,1,1,152.498,Mice Galaxies,,,,,,,,,,,
MXB 1658-298,2,1,61.861,Starfish Galaxy,,,,,,,,,,,
NGC 2682 Sand 1429,1,1,261.964,Large Magellanic Cloud,,,,,,,,,,,
NGC 2682 Sand 364,1,1,244.266,Grasshopper,,,,,,,,,,,
NGC 2682 Sand 978,1,1,94.826,Grasshopper,,,,,,,,,,,
NGC 2682 YBP 1194,1,1,77.928,Porphyrion,,,,,,,,,,,
NGC 2682 YBP 1514,1,1,168.522,Knife Edge Galaxy,,,,,,,,,,,
NGC 2682 YBP 401,1,1,132.64,Large Magellanic Cloud,,,,,,,,,,,
NGTS-1,1,1,118.834,Medusa Merger,,,,,,,,,,,
NGTS-10,1,1,276.309,Paramecium Galaxy,,,,,,,,,,,
NGTS-11,1,1,272.644,Triangulum Galaxy,,,,,,,,,,,
NGTS-12,1,1,4.968,Cigar Galaxy,,,,,,,,,,,
NGTS-13,1,1,187.622,Sombrero Galaxy,,,,,,,,,,,
NGTS-14 A,2,1,287.859,Large Magellanic Cloud,,,,,,,,,,,
NGTS-15,1,1,5.098,Eye of Sauron,,,,,,,,,,,
NGTS-16,1,1,202.769,Backward Galaxy,,,,,,,,,,,
NGTS-17,1,1,89.546,Sunflower Galaxy,,,,,,,,,,,
NGTS-18,1,1,269.398,Small Magellanic Cloud,,,,,,,,,,,
NGTS-2,1,1,82.527,Circinus Galaxy,,,,,,,,,,,
NGTS-20,1,1,168.443,Godzilla Galaxy,,,,,,,,,,,
NGTS-21,1,1,60.294,Porphyrion,,,,,,,,,,,
NGTS-23,1,1,94.18,Antennae Galaxies,,,,,,,,,,,
NGTS-24,1,1,62.808,Triangulum Galaxy,,,,,,,,,,,
NGTS-25,1,1,17.863,Porphyrion,,,,,,,,,,,
NGTS-26,1,1,268.111,Hoag's Object,,,,,,,,,,,
NGTS-27,1,1,273.934,Bear Paw Galaxy,,,,,,,,,,,
NGTS-3 A,2,1,33.093,Medusa Merger,,,,,,,,,,,
NGTS-30,1,1,146.562,Peekaboo Galaxy,,,,,,,,,,,
NGTS-33,1,1,263.478,Peekaboo Galaxy,,,,,,,,,,,
NGTS-4,1,1,179.046,Backward Galaxy,,,,,,,,,,,
NGTS-5,1,1,247.331,Lindsay-Shapley Ring,,,,,,,,,,,
NGTS-6,1,1,276.776,Hockey Stick Galaxies,,,,,,,,,,,
NGTS-8,1,1,135.865,Spider Galaxy,,,,,,,,,,,
NGTS-9,1,1,86.448,Meathook Galaxy,,,,,,,,,,,
NN Ser,2,2,21.389,Fried Egg Galaxy,,,,,,,,,,,
NSVS 14256825,2,1,198.281,Barnard's Galaxy,,,,,,,,,,,
NY Vir,2,2,9.447,Triangulum Galaxy,,,,,,,,,,,
OGLE-2003-BLG-235L,1,1,108.056,Malin 1,,,,,,,,,,,
OGLE-2005-BLG-071L,1,1,188.779,Mice Galaxies,,,,,,,,,,,
OGLE-2005-BLG-169L,1,1,48.189,Mice Galaxies,,,,,,,,,,,
OGLE-2005-BLG-390L,1,1,43.216,Bode's Galaxy,,,,,,,,,,,
OGLE-2006-BLG-109L,1,2,41.072,Alcyoneus,,,,,,,,,,,
OGLE-2006-BLG-284L A,2,1,210.396,Paramecium Galaxy,,,,,,,,,,,
OGLE-2007-BLG-349L A,2,1,291.008,Butterfly Galaxies,,,,,,,,,,,
OGLE-2007-BLG-368L,1,1,298.761,Butterfly Galaxies,,,,,,,,,,,
OGLE-2008-BLG-092L,2,1,122.043,Whale Galaxy,,,,,,,,,,,
OGLE-2008-BLG-355L,1,1,236.393,Cocoon Galaxy,,,,,,,,,,,
OGLE-2011-BLG-0173L,1,1,48.546,Eye of God,,,,,,,,,,,
OGLE-2011-BLG-0251L,1,1,27.609,Helix Galaxy,,,,,,,,,,,
OGLE-2011-BLG-0265L,1,1,229.677,Eye of Sauron,,,,,,,,,,,
OGLE-2012-BLG-0026L,1,2,122.875,Grasshopper,,,,,,,,,,,
OGLE-2012-BLG-0358L,1,1,234.901,UFO Galaxy,,,,,,,,,,,
OGLE-2012-BLG-0406L,1,1,122.148,Sombrero Galaxy,,,,,,,,,,,
OGLE-2012-BLG-0563L,1,1,288.687,Hoag's Object,,,,,,,,,,,
OGLE-2012-BLG-0724L,1,1,242.685,Mice Galaxies,,,,,,,,,,,
OGLE-2012-BLG-0838L,1,1,299.33,Bear Paw Galaxy,,,,,,,,,,,
OGLE-2012-BLG-0950L,1,1,118.264,Comet Galaxy,,,,,,,,,,,
OGLE-2013-BLG-0102L,1,1,147.906,Little Sombrero Galaxy,,,,,,,,,,,
OGLE-2013-BLG-0132L,1,1,81.15,Hoag's Object,,,,,,,,,,,
OGLE-2013-BLG-0341L B,2,1,62.309,Alcyoneus,,,,,,,,,,,
OGLE-2013-BLG-0911L,1,1,208.863,Sombrero Galaxy,,,,,,,,,,,
OGLE-2013-BLG-1721L,1,1,140.851,Cosmos Redshift 7,,,,,,,,,,,
OGLE-2013-BLG-1761L,1,1,233.061,Lindsay-Shapley Ring,,,,,,,,,,,
OGLE-2014-BLG-0124L,1,1,293.972,Topsy Turvy Galaxy,,,,,,,,,,,
OGLE-2014-BLG-0221L,1,1,168.263,Grasshopper,,,,,,,,,,,
OGLE-2014-BLG-0319L,1,1,288.088,Dusty Hand Galaxy,,,,,,,,,,,
OGLE-2014-BLG-0676L,1,1,126.64,Large Magellanic Cloud,,,,,,,,,,,
OGLE-2014-BLG-1722L,1,2,18.266,Coma Pinwheel Galaxy,,,,,,,,,,,
OGLE-2014-BLG-1760L,1,1,112.65,Coma Pinwheel Galaxy,,,,,,,,,,,
OGLE-2015-BLG-0051L,1,1,72.756,Barnard's Galaxy,,,,,,,,,,,
OGLE-2015-BLG-0954L,1,1,107.914,Bear Paw Galaxy,,,,,,,,,,,
OGLE-2015-BLG-0966L,1,1,160.081,Meathook Galaxy,,,,,,,,,,,
OGLE-2015-BLG-1649L,1,1,247.635,Cigar Galaxy,,,,,,,,,,,
OGLE-2015-BLG-1670L,1,1,192.349,Cosmos Redshift 7,,,,,,,,,,,
OGLE-2015-BLG-1771L,1,1,246.805,Butterfly Galaxies,,,,,,,,,,,
OGLE-2016-BLG-0263L,1,1,248.175,Bear Paw Galaxy,,,,,,,,,,,
OGLE-2016-BLG-0613L AB,2,1,288.591,Fried Egg Galaxy,,,,,,,,,,,
OGLE-2016-BLG-1067L,1,1,186.599,Black Eye Galaxy,,,,,,,,,,,
OGLE-2016-BLG-1093L,1,1,38.571,Butterfly Galaxies,,,,,,,,,,,
OGLE-2016-BLG-1190L,1,1,27.2,Topsy Turvy Galaxy,,,,,,,,,,,
OGLE-2016-BLG-1195L,1,1,136.129,Coma Pinwheel Galaxy,,,,,,,,,,,
OGLE-2016-BLG-1227L,1,1,240.052,Whirlpool Galaxy,,,,,,,,,,,
OGLE-2016-BLG-1598L,1,1,106.931,Fried Egg Galaxy,,,,,,,,,,,
OGLE-2016-BLG-1800L,1,1,226.606,Sculptor Galaxy,,,,,,,,,,,
OGLE-2017-BLG-0173L,1,1,40.105,Porpoise Galaxy,,,,,,,,,,,
OGLE-2017-BLG-0373L,1,1,210.433,Fried Egg Galaxy,,,,,,,,,,,
OGLE-2017-BLG-0406L,1,1,235.102,Cosmos Redshift 7,,,,,,,,,,,
OGLE-2017-BLG-0448L,1,1,165.296,Malin 1,,,,,,,,,,,
OGLE-2017-BLG-0482L,1,1,206.839,Knife Edge Galaxy,,,,,,,,,,,
OGLE-2017-BLG-0604L,1,1,104.199,Needle Galaxy,,,,,,,,,,,
OGLE-2017-BLG-0640L,1,1,198.602,Large Magellanic Cloud,,,,,,,,,,,
OGLE-2017-BLG-1049L,1,1,42.472,Blinking Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1099L,1,1,187.442,Bear Paw Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1140L,1,1,262.061,Sunflower Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1237L,1,1,15.958,Milky Way,,,,,,,,,,,
OGLE-2017-BLG-1275L,1,1,212.888,Dusty Hand Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1375L,1,1,294.494,Fried Egg Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1434L,1,1,231.077,Hidden Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1522L,1,1,92.001,Sculptor Dwarf Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1691L,1,1,21.498,Whale Galaxy,,,,,,,,,,,
OGLE-2017-BLG-1806L,1,1,78.353,Fireworks Galaxy,,,,,,,,,,,
OGLE-2018-BLG-0298L,1,1,173.971,Fireworks Galaxy,,,,,,,,,,,
OGLE-2018-BLG-0383L,1,1,31.01,Hoag's Object,,,,,,,,,,,
OGLE-2018-BLG-0506L,1,1,6.071,Cocoon Galaxy,,,,,,,,,,,
OGLE-2018-BLG-0516L,1,1,139.944,Grasshopper,,,,,,,,,,,
OGLE-2018-BLG-0532L,1,1,73.558,Cosmos Redshift 7,,,,,,,,,,,
OGLE-2018-BLG-0567L,1,1,110.96,Hoag's Object,,,,,,,,,,,
OGLE-2018-BLG-0596L,1,1,94.843,Little Sombrero Galaxy,,,,,,,,,,,
OGLE-2018-BLG-0677L,1,1,111.564,Medusa Merger,,,,,,,,,,,
OGLE-2018-BLG-0740L,1,1,207.692,Hockey Stick Galaxies,,,,,,,,,,,
OGLE-2018-BLG-0799L,1,1,92.297,Cigar Galaxy,,,,,,,,,,,
OGLE-2018-BLG-0932L,1,1,155.835,Godzilla Galaxy,,,,,,,,,,,
OGLE-2018-BLG-0962L,1,1,192.116,Antennae Galaxies,,,,,,,,,,,
OGLE-2018-BLG-0977L,1,1,62.87,Eye of God,,,,,,,,,,,
OGLE-2018-BLG-1011L,1,2,297.32,Topsy Turvy Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1119L,1,1,222.74,Black Eye Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1126L,1,1,238.43,Sunflower Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1185L,1,1,238.679,Sunflower Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1212L,1,1,230.972,Knife Edge Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1269L,1,1,94.925,Coma Pinwheel Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1367L,1,1,53.181,Black Eye Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1428L,1,1,32.223,Mice Galaxies,,,,,,,,,,,
OGLE-2018-BLG-1647L,1,1,169.217,Meathook Galaxy,,,,,,,,,,,
OGLE-2018-BLG-1700L,2,1,144.052,Starfish Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0249L,1,1,111.999,Porphyrion,,,,,,,,,,,
OGLE-2019-BLG-0299L,1,1,182.526,Meathook Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0304L,2,1,89.248,Circinus Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0362L,1,1,32.673,Helix Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0468L,1,2,202.007,Spider Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0679L,1,1,238.814,Godzilla Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0954L,1,1,169.126,Cartwheel Galaxy,,,,,,,,,,,
OGLE-2019-BLG-0960L,1,1,185.775,Butterfly Galaxies,,,,,,,,,,,
OGLE-2019-BLG-1053L,1,1,106.602,Needle Galaxy,,,,,,,,,,,
OGLE-2019-BLG-1180L,1,1,171.489,Dusty Hand Galaxy,,,,,,,,,,,
OGLE-2019-BLG-1470L A,2,1,138.745,Spider Galaxy,,,,,,,,,,,
OGLE-2019-BLG-1492L,1,1,61.223,Sculptor Dwarf Galaxy,,,,,,,,,,,
OGLE-2023-BLG-0836L,2,1,197.948,Butterfly Galaxies,,,,,,,,,,,
OGLE-TR-10,1,1,155.967,Wolf-Lundmark-Melotte,,,,,,,,,,,
OGLE-TR-111,1,1,43.831,Southern Pinwheel Galaxy,,,,,,,,,,,
OGLE-TR-113,1,1,86.366,Condor Galaxy,,,,,,,,,,,
OGLE-TR-132,1,1,61.632,Fireworks Galaxy,,,,,,,,,,,
OGLE-TR-182,1,1,56.575,Hoag's Object,,,,,,,,,,,
OGLE-TR-211,1,1,162.664,UFO Galaxy,,,,,,,,,,,
OGLE-TR-56,1,1,295.784,Fireworks Galaxy,,,,,,,,,,,
OGLE2-TR-L9,1,1,297.245,Bode's Galaxy,,,,,,,,,,,
Oph 11,1,1,165.956,Mayall's Object,,,,,,,,,,,
PDS 70,1,2,11.729,Hockey Stick Galaxies,,,,,,,,,,,
PH1,4,1,48.844,Fried Egg Galaxy,,,,,,,,,,,
PH2,1,1,32.658,Needle Galaxy,,,,,,,,,,,
POTS-1,1,1,197.88,Backward Galaxy,,,,,,,,,,,
PSR B0329+54,1,1,245.545,Malin 1,,,,,,,,,,,
PSR B1257+12,1,3,100.11,Needle Galaxy,,,,,,,,,,,
PSR B1620-26,2,1,263.28,Knife Edge Galaxy,,,,,,,,,,,
PSR J1719-1438,1,1,189.432,Medusa Merger,,,,,,,,,,,
PSR J2322-2650,1,1,47.704,Fried Egg Galaxy,,,,,,,,,,,
PZ Tel,1,1,65.172,Large Magellanic Cloud,,,,,,,,,,,
Pr0201,1,1,34.751,Cartwheel Galaxy,,,,,,,,,,,
Pr0211,2,2,279.51,Comet Galaxy,,,,,,,,,,,
Proxima Cen,3,1,153.011,Malin 1,,,,,,,,,,,
Qatar-1,1,1,241.62,Fried Egg Galaxy,,,,,,,,,,,
Qatar-10,1,1,59.814,Dusty Hand Galaxy,,,,,,,,,,,
Qatar-2,1,1,41.76,Knife Edge Galaxy,,,,,,,,,,,
Qatar-3,1,1,220.916,Comet Galaxy,,,,,,,,,,,
Qatar-4,1,1,205.882,Coma Pinwheel Galaxy,,,,,,,,,,,
Qatar-5,1,1,80.191,Pinwheel Galaxy,,,,,,,,,,,
Qatar-6,2,1,279.47,Dusty Hand Galaxy,,,,,,,,,,,
Qatar-7,1,1,150.743,Cosmos Redshift 7,,,,,,,,,,,
Qatar-8,1,1,263.601,Hoag's Object,,,,,,,,,,,
Qatar-9,1,1,237.301,Helix Galaxy,,,,,,,,,,,
ROXs 12,2,1,17.034,Porphyrion,,,,,,,,,,,
ROXs 42 B,2,1,203.627,Knife Edge Galaxy,,,,,,,,,,,
RR Cae,2,1,262.315,Blinking Galaxy,,,,,,,,,,,
Ross 128,1,1,284.938,Wolf-Lundmark-Melotte,,,,,,,,,,,
Ross 458,2,1,140.604,Butterfly Galaxies,,,,,,,,,,,
Ross 508,1,1,81.608,Knife Edge Galaxy,,,,,,,,,,,
SPECULOOS-3,1,1,263.902,Andromeda Galaxy,,,,,,,,,,,
SR 12 AB,2,1,118.618,Medusa Merger,,,,,,,,,,,
SWEEPS-11,1,1,177.432,Cigar Galaxy,,,,,,,,,,,
SWEEPS-4,1,1,199.147,Sombrero Galaxy,,,,,,,,,,,
TAP 26,1,1,171.882,Fried Egg Galaxy,,,,,,,,,,,
TCP J05074264+2447555,1,1,63.786,Sunflower Galaxy,,,,,,,,,,,
TIC 139270665,1,2,138.546,Whirlpool Galaxy,,,,,,,,,,,
TIC 172900988 Aa,2,1,96.514,Porpoise Galaxy,,,,,,,,,,,
TIC 237913194,1,1,83.31,Circinus Galaxy,,,,,,,,,,,
TIC 241249530,2,1,122.338,Coma Pinwheel Galaxy,,,,,,,,,,,
