Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Has Biosphere,Discovery Year,Star Name
Kepler-731 b,13.88,116.4,Proto Planet,0,2016,Kepler-731
Kepler-732 b,2.18,44.22,Garden World,1,2016,Kepler-732
Kepler-732 c,1.27,66.95,Dwarf Planet,0,2016,Kepler-732
Kepler-733 b,2.82,63.51,Proto Planet,0,2016,Kepler-733
Kepler-734 b,3.56,90.27,Proto Planet,1,2016,Kepler-734
Kepler-735 b,2.95,42.4,Garden World,1,2016,Kepler-735
Kepler-736 b,2.93,20.98,Dwarf Planet,0,2016,Kepler-736
Kepler-737 b,1.96,36.12,Ice Giant,0,2016,Kepler-737
Kepler-738 b,2.5,72.18,Proto Planet,0,2016,Kepler-738
Kepler-739 b,3.32,68.6,Dwarf Planet,0,2016,Kepler-739
Kepler-74 b,10.76,0.71,Ice Giant,0,2013,Kepler-74
Kepler-740 b,4.57,100.55,Proto Planet,1,2016,Kepler-740
Kepler-741 b,2.97,49.18,Ice Giant,0,2016,Kepler-741
Kepler-742 b,3.24,33.71,Ice Giant,1,2016,Kepler-742
Kepler-743 b,1.21,96.55,Chthonian Planet,1,2016,Kepler-743
Kepler-744 b,1.62,79.51,Ice Giant,1,2016,Kepler-744
Kepler-745 b,2.16,47.41,Dwarf Planet,1,2016,Kepler-745
Kepler-746 b,1.11,95.23,Gas Giant,1,2016,Kepler-746
Kepler-747 b,5.27,1.06,Dwarf Planet,1,2016,Kepler-747
Kepler-748 b,2.52,101.68,Garden World,1,2016,Kepler-748
Kepler-749 b,3.1,83.72,Proto Planet,0,2016,Kepler-749
Kepler-75 b,11.77,33.31,Proto Planet,1,2013,Kepler-75
Kepler-750 b,3.07,98.09,Dwarf Planet,0,2016,Kepler-750
Kepler-750 c,1.62,63.23,Ice Giant,1,2016,Kepler-750
Kepler-751 b,2.46,112.28,Gas Giant,0,2016,Kepler-751
Kepler-752 b,2.81,115.21,Gas Giant,0,2016,Kepler-752
Kepler-753 b,1.91,34.29,Proto Planet,0,2016,Kepler-753
Kepler-754 b,2.01,82.08,Ice Giant,1,2016,Kepler-754
Kepler-755 b,1.76,29.29,Garden World,1,2016,Kepler-755
Kepler-755 c,1.26,39.62,Dwarf Planet,0,2016,Kepler-755
Kepler-756 b,1.12,2.41,Gas Giant,0,2016,Kepler-756
Kepler-757 b,1.36,43.14,Dwarf Planet,1,2016,Kepler-757
Kepler-758 b,2.48,86.36,Gas Giant,0,2016,Kepler-758
Kepler-758 c,1.69,5.76,Dwarf Planet,1,2016,Kepler-758
Kepler-758 d,2.12,31.65,Proto Planet,0,2016,Kepler-758
Kepler-758 e,1.53,20.77,Ice Giant,1,2016,Kepler-758
Kepler-759 b,2.27,48.7,Garden World,0,2016,Kepler-759
Kepler-76 b,15.244,3.14,Proto Planet,1,2013,Kepler-76
Kepler-760 b,3.06,123.3,Proto Planet,1,2016,Kepler-760
Kepler-760 c,1.48,31.6,Garden World,0,2016,Kepler-760
Kepler-761 b,2.03,66.07,Ice Giant,1,2016,Kepler-761
Kepler-762 b,12.68,81.72,Proto Planet,1,2016,Kepler-762
Kepler-763 b,1.22,0.95,Proto Planet,0,2016,Kepler-763
Kepler-763 c,1.42,3.7,Chthonian Planet,1,2023,Kepler-763
Kepler-763 d,1.67,83.72,Proto Planet,1,2023,Kepler-763
Kepler-764 b,1.64,75.08,Garden World,0,2016,Kepler-764
Kepler-765 b,2.43,83.88,Gas Giant,0,2016,Kepler-765
Kepler-766 b,3.39,97.55,Dwarf Planet,0,2016,Kepler-766
Kepler-767 b,6.64,15.32,Proto Planet,1,2016,Kepler-767
Kepler-768 b,1.79,30.63,Garden World,1,2016,Kepler-768
Kepler-769 b,2.92,0.24,Ice Giant,0,2016,Kepler-769
Kepler-769 c,1.79,35.56,Proto Planet,0,2016,Kepler-769
Kepler-77 b,10.761,70.61,Proto Planet,0,2013,Kepler-77
Kepler-770 b,2.3,32.51,Gas Giant,1,2016,Kepler-770
Kepler-770 c,1.2,56.22,Garden World,1,2016,Kepler-770
Kepler-770 d,1.4,99.12,Gas Giant,0,2016,Kepler-770
Kepler-771 b,1.82,117.82,Proto Planet,1,2016,Kepler-771
Kepler-772 b,1.82,53.44,Ice Giant,1,2016,Kepler-772
Kepler-773 b,1.43,110.94,Ice Giant,0,2016,Kepler-773
Kepler-774 b,3.17,49.13,Gas Giant,0,2016,Kepler-774
Kepler-775 b,1.19,39.02,Garden World,1,2016,Kepler-775
Kepler-776 b,1.28,39.46,Dwarf Planet,1,2016,Kepler-776
Kepler-777 b,1.47,94.69,Gas Giant,1,2016,Kepler-777
Kepler-778 b,1.68,103.27,Proto Planet,0,2016,Kepler-778
Kepler-779 b,0.92,63.85,Gas Giant,1,2016,Kepler-779
Kepler-78 b,1.201,46.23,Proto Planet,1,2013,Kepler-78
Kepler-780 b,0.89,51.61,Gas Giant,0,2016,Kepler-780
Kepler-781 b,2.89,108.41,Proto Planet,0,2016,Kepler-781
Kepler-782 b,3.21,121.05,Garden World,0,2016,Kepler-782
Kepler-783 b,0.78,8.73,Garden World,1,2016,Kepler-783
Kepler-783 c,2.332,120.13,Dwarf Planet,0,2020,Kepler-783
Kepler-784 b,1.58,95.1,Ice Giant,0,2016,Kepler-784
Kepler-784 c,1.55,30.45,Proto Planet,0,2023,Kepler-784
Kepler-785 b,13.02,78.4,Chthonian Planet,0,2016,Kepler-785
Kepler-786 b,2.43,96.88,Proto Planet,1,2016,Kepler-786
Kepler-787 b,1.28,27.67,Gas Giant,0,2016,Kepler-787
Kepler-788 b,2.55,32.95,Ice Giant,1,2016,Kepler-788
Kepler-789 b,2.12,9.03,Gas Giant,1,2016,Kepler-789
Kepler-79 b,3.47,66.36,Proto Planet,1,2012,Kepler-79
Kepler-79 c,3.72,97.83,Dwarf Planet,1,2012,Kepler-79
Kepler-79 d,7.16,0.7,Gas Giant,1,2014,Kepler-79
Kepler-79 e,3.49,12.14,Gas Giant,0,2014,Kepler-79
Kepler-790 b,2.18,53.19,Dwarf Planet,0,2016,Kepler-790
Kepler-791 b,3.05,81.02,Proto Planet,0,2016,Kepler-791
Kepler-792 b,1.96,97.41,Proto Planet,0,2016,Kepler-792
Kepler-793 b,1.37,35.01,Ice Giant,0,2016,Kepler-793
Kepler-794 b,2.11,15.94,Proto Planet,1,2016,Kepler-794
Kepler-795 b,1.68,92.17,Dwarf Planet,0,2016,Kepler-795
Kepler-796 b,1.3,95.63,Proto Planet,0,2016,Kepler-796
Kepler-797 b,2.17,45.63,Garden World,1,2016,Kepler-797
Kepler-798 b,2.39,3.46,Gas Giant,1,2016,Kepler-798
Kepler-799 b,6.88,54.09,Ice Giant,1,2016,Kepler-799
Kepler-799 c,2.781,75.04,Ice Giant,1,2021,Kepler-799
Kepler-8 b,15.872,24.88,Garden World,0,2010,Kepler-8
Kepler-80 b,2.67,58.13,Dwarf Planet,0,2012,Kepler-80
Kepler-80 c,2.74,77.41,Chthonian Planet,1,2012,Kepler-80
Kepler-80 d,1.53,85.31,Gas Giant,0,2014,Kepler-80
Kepler-80 e,1.6,4.16,Dwarf Planet,0,2014,Kepler-80
Kepler-80 f,1.21,85.79,Ice Giant,1,2016,Kepler-80
Kepler-80 g,1.13,49.26,Ice Giant,0,2017,Kepler-80
Kepler-800 b,2.85,97.65,Garden World,0,2016,Kepler-800
Kepler-801 b,2,110.44,Dwarf Planet,1,2016,Kepler-801
Kepler-802 b,3.54,99,Gas Giant,1,2016,Kepler-802
Kepler-803 b,3.79,7.22,Dwarf Planet,1,2016,Kepler-803
Kepler-804 b,1.94,52.94,Chthonian Planet,1,2016,Kepler-804
Kepler-804 c,1.14,51.97,Dwarf Planet,0,2016,Kepler-804
Kepler-805 b,2.89,91.96,Ice Giant,0,2016,Kepler-805
Kepler-806 b,1.14,113.21,Dwarf Planet,0,2016,Kepler-806
Kepler-808 b,1.46,20.25,Gas Giant,0,2016,Kepler-808
Kepler-809 b,3.01,123.02,Dwarf Planet,1,2016,Kepler-809
Kepler-81 b,2.42,102.24,Dwarf Planet,1,2012,Kepler-81
Kepler-81 c,2.37,50.4,Proto Planet,1,2012,Kepler-81
Kepler-81 d,1.21,87.49,Proto Planet,1,2014,Kepler-81
Kepler-810 b,1.93,119.36,Gas Giant,0,2016,Kepler-810
Kepler-811 b,2.7,97.03,Ice Giant,0,2016,Kepler-811
Kepler-812 b,3.55,97.64,Proto Planet,1,2016,Kepler-812
Kepler-813 b,2.14,36.13,Proto Planet,0,2016,Kepler-813
Kepler-814 b,2.12,37.8,Dwarf Planet,1,2016,Kepler-814
Kepler-815 b,4.11,3.52,Chthonian Planet,1,2016,Kepler-815
Kepler-816 b,10.24,14.83,Gas Giant,0,2016,Kepler-816
Kepler-817 b,9.03,56.85,Gas Giant,1,2016,Kepler-817
Kepler-818 b,5.11,69.79,Ice Giant,1,2016,Kepler-818
Kepler-819 b,2.76,84.98,Ice Giant,1,2016,Kepler-819
Kepler-82 b,4.07,39.1,Proto Planet,1,2012,Kepler-82
Kepler-82 c,5.34,102.98,Proto Planet,0,2012,Kepler-82
Kepler-82 d,1.77,116.81,Dwarf Planet,0,2014,Kepler-82
Kepler-82 e,2.47,34.85,Gas Giant,0,2014,Kepler-82
Kepler-82 f,4.84,99.76,Dwarf Planet,0,2019,Kepler-82
Kepler-820 b,6.09,104.2,Gas Giant,1,2016,Kepler-820
Kepler-821 b,1.31,22.75,Proto Planet,0,2016,Kepler-821
Kepler-822 b,1.77,117,Gas Giant,0,2016,Kepler-822
Kepler-823 b,1.57,108.65,Proto Planet,1,2016,Kepler-823
Kepler-824 b,1.87,15.42,Gas Giant,0,2016,Kepler-824
Kepler-825 b,1.53,115.59,Dwarf Planet,0,2016,Kepler-825
Kepler-825 c,1.84,71.19,Dwarf Planet,0,2016,Kepler-825
Kepler-826 b,1.25,67.63,Dwarf Planet,0,2016,Kepler-826
Kepler-827 b,5.63,4.33,Dwarf Planet,1,2016,Kepler-827
Kepler-828 b,1.51,1.84,Dwarf Planet,1,2016,Kepler-828
Kepler-829 b,2.11,95.03,Ice Giant,1,2016,Kepler-829
Kepler-83 b,2.83,78.4,Gas Giant,0,2012,Kepler-83
Kepler-83 c,2.36,120.56,Ice Giant,1,2012,Kepler-83
Kepler-83 d,1.94,30.83,Ice Giant,0,2014,Kepler-83
Kepler-830 b,1.7,38.67,Proto Planet,1,2016,Kepler-830
Kepler-831 b,1.27,104.63,Gas Giant,1,2016,Kepler-831
Kepler-832 b,2.06,102.48,Ice Giant,1,2016,Kepler-832
Kepler-833 b,2.02,47.48,Chthonian Planet,0,2016,Kepler-833
Kepler-834 b,2.02,75.06,Gas Giant,0,2016,Kepler-834
Kepler-835 b,2.79,104.2,Gas Giant,0,2016,Kepler-835
Kepler-836 b,2.73,39.11,Gas Giant,0,2016,Kepler-836
Kepler-837 b,2.56,9.98,Gas Giant,0,2016,Kepler-837
Kepler-838 b,2.73,14.6,Proto Planet,0,2016,Kepler-838
Kepler-839 b,2.57,64.27,Ice Giant,0,2016,Kepler-839
Kepler-84 b,2.23,114.38,Garden World,0,2012,Kepler-84
Kepler-84 c,2.36,101.68,Garden World,1,2012,Kepler-84
Kepler-84 d,1.38,28.52,Ice Giant,1,2014,Kepler-84
Kepler-84 e,2.6,20.76,Proto Planet,0,2014,Kepler-84
Kepler-84 f,2.2,92.79,Garden World,1,2014,Kepler-84
Kepler-841 b,5.23,31.16,Ice Giant,0,2016,Kepler-841
Kepler-842 b,1.6,16.52,Proto Planet,0,2016,Kepler-842
Kepler-843 b,2.59,47.97,Gas Giant,1,2016,Kepler-843
Kepler-844 b,1.68,120.72,Proto Planet,1,2016,Kepler-844
Kepler-845 b,2.04,39.15,Dwarf Planet,1,2016,Kepler-845
Kepler-846 b,2.48,104.65,Proto Planet,1,2016,Kepler-846
Kepler-847 b,1.18,37.8,Gas Giant,1,2016,Kepler-847
Kepler-848 b,1.7,34.82,Dwarf Planet,1,2016,Kepler-848
Kepler-849 b,8.082,52.72,Proto Planet,1,2016,Kepler-849
Kepler-85 b,1.778,81.63,Dwarf Planet,0,2012,Kepler-85
Kepler-85 c,1.978,8.18,Ice Giant,0,2012,Kepler-85
Kepler-85 d,1.2,86.83,Chthonian Planet,1,2014,Kepler-85
Kepler-85 e,1.27,60.37,Ice Giant,1,2014,Kepler-85
Kepler-850 b,1.78,84.33,Gas Giant,1,2016,Kepler-850
Kepler-851 b,1.68,55.37,Ice Giant,0,2016,Kepler-851
Kepler-852 b,2.54,25.58,Gas Giant,1,2016,Kepler-852
Kepler-853 b,1.69,65.62,Proto Planet,1,2016,Kepler-853
Kepler-855 b,8.35,84.54,Proto Planet,1,2016,Kepler-855
Kepler-856 b,9.3,67.05,Garden World,1,2016,Kepler-856
Kepler-857 b,6.8,23.57,Proto Planet,1,2016,Kepler-857
Kepler-858 b,4.87,22.77,Gas Giant,0,2016,Kepler-858
Kepler-859 b,3.09,118.31,Gas Giant,0,2016,Kepler-859
Kepler-860 b,3.24,12.49,Proto Planet,0,2016,Kepler-860
Kepler-861 b,2.28,58.5,Gas Giant,0,2016,Kepler-861
Kepler-862 b,2.21,21.34,Proto Planet,1,2016,Kepler-862
Kepler-863 b,2.9,58.99,Chthonian Planet,1,2016,Kepler-863
Kepler-864 b,2.4,91,Proto Planet,0,2016,Kepler-864
Kepler-864 c,1.62,96.55,Proto Planet,0,2023,Kepler-864
Kepler-865 b,2.49,96,Ice Giant,0,2016,Kepler-865
Kepler-865 c,0.89,95.36,Ice Giant,0,2023,Kepler-865
Kepler-866 b,1.63,3.83,Ice Giant,1,2016,Kepler-866
Kepler-867 b,4.64,111.42,Ice Giant,0,2016,Kepler-867
Kepler-868 b,2.05,46.08,Chthonian Planet,0,2016,Kepler-868
Kepler-869 b,3.61,81.35,Gas Giant,0,2016,Kepler-869
Kepler-87 b,13.49,61.85,Ice Giant,1,2013,Kepler-87
Kepler-87 c,6.14,86.66,Ice Giant,0,2013,Kepler-87
Kepler-870 b,2.78,30.85,Proto Planet,0,2016,Kepler-870
Kepler-871 b,3.74,85.48,Ice Giant,0,2016,Kepler-871
Kepler-872 b,1.99,0.71,Garden World,1,2016,Kepler-872
Kepler-873 b,3.75,85.77,Dwarf Planet,1,2016,Kepler-873
Kepler-874 b,3.94,62.35,Dwarf Planet,0,2016,Kepler-874
Kepler-875 b,2.9,42.34,Gas Giant,0,2016,Kepler-875
Kepler-876 b,1.43,4.78,Proto Planet,0,2016,Kepler-876
Kepler-877 b,2.12,63.97,Gas Giant,1,2016,Kepler-877
Kepler-878 b,1.93,46.88,Ice Giant,1,2016,Kepler-878
Kepler-879 b,2.57,114.82,Chthonian Planet,0,2016,Kepler-879
Kepler-879 c,0.4,114.68,Garden World,0,2024,Kepler-879
Kepler-88 d,13.1,1.64,Proto Planet,1,2020,KOI-142
Kepler-880 b,2.66,23.3,Ice Giant,0,2016,Kepler-880
Kepler-880 c,2.87,59.89,Garden World,0,2023,Kepler-880
Kepler-881 b,1.78,43.08,Dwarf Planet,1,2016,Kepler-881
Kepler-882 b,1.23,100.78,Ice Giant,1,2016,Kepler-882
Kepler-883 b,1.78,120.25,Gas Giant,0,2016,Kepler-883
Kepler-884 b,1.23,62.31,Proto Planet,0,2016,Kepler-884
Kepler-885 b,2.5,91.83,Ice Giant,1,2016,Kepler-885
Kepler-886 b,1.52,108.95,Proto Planet,0,2016,Kepler-886
Kepler-887 b,1.84,100.12,Dwarf Planet,0,2016,Kepler-887
Kepler-887 c,1.13,57.77,Ice Giant,1,2016,Kepler-887
Kepler-888 b,1.76,95.21,Dwarf Planet,1,2016,Kepler-888
Kepler-889 b,1.09,43.24,Chthonian Planet,0,2016,Kepler-889
Kepler-890 b,8.89,70.06,Gas Giant,0,2016,Kepler-890
Kepler-891 b,6.41,23.73,Dwarf Planet,0,2016,Kepler-891
Kepler-892 b,2.81,85.45,Ice Giant,0,2016,Kepler-892
Kepler-893 b,3.03,116.36,Dwarf Planet,1,2016,Kepler-893
Kepler-894 b,2.78,108.5,Ice Giant,0,2016,Kepler-894
Kepler-895 b,1.54,56.12,Gas Giant,1,2016,Kepler-895
Kepler-896 b,2.53,82.92,Gas Giant,0,2016,Kepler-896
Kepler-896 c,3.15,12.11,Dwarf Planet,0,2023,Kepler-896
Kepler-897 b,2.39,32.79,Proto Planet,1,2016,Kepler-897
Kepler-898 b,1.49,22.7,Garden World,0,2016,Kepler-898
Kepler-899 b,2.68,1.68,Gas Giant,1,2016,Kepler-899
Kepler-9 b,8.29,102.3,Gas Giant,0,2010,Kepler-9
Kepler-9 c,8.08,77.57,Garden World,1,2010,Kepler-9
Kepler-9 d,1.64,94.61,Garden World,0,2010,Kepler-9
Kepler-90 i,1.32,102.82,Proto Planet,1,2017,KOI-351
Kepler-900 b,2.08,78.49,Dwarf Planet,1,2016,Kepler-900
Kepler-901 b,1.37,30.25,Ice Giant,0,2016,Kepler-901
Kepler-902 b,2.54,24.62,Dwarf Planet,0,2016,Kepler-902
Kepler-903 b,2.01,15.92,Garden World,1,2016,Kepler-903
Kepler-903 c,2.53,108.94,Ice Giant,0,2016,Kepler-903
Kepler-904 b,1.77,51.31,Garden World,1,2016,Kepler-904
Kepler-905 b,1.41,114.86,Chthonian Planet,0,2016,Kepler-905
Kepler-906 b,2.11,0.14,Ice Giant,0,2016,Kepler-906
Kepler-907 b,1.2,72.19,Proto Planet,1,2016,Kepler-907
Kepler-908 b,1.22,29.52,Gas Giant,0,2016,Kepler-908
Kepler-909 b,1.47,2.88,Dwarf Planet,0,2016,Kepler-909
Kepler-91 b,15.323,8.17,Chthonian Planet,1,2013,Kepler-91
Kepler-910 b,0.82,59.42,Gas Giant,0,2016,Kepler-910
Kepler-911 b,2.6,15.76,Chthonian Planet,0,2016,Kepler-911
Kepler-912 b,2.8,106.54,Garden World,1,2016,Kepler-912
Kepler-913 b,2.06,7.49,Dwarf Planet,1,2016,Kepler-913
Kepler-913 c,3.858,47.59,Garden World,1,2021,Kepler-913
Kepler-914 b,1.38,39.81,Dwarf Planet,1,2016,Kepler-914
Kepler-915 b,1.5,71.88,Garden World,1,2016,Kepler-915
Kepler-916 b,1.76,16.17,Chthonian Planet,1,2016,Kepler-916
Kepler-917 b,1.91,2.47,Proto Planet,0,2016,Kepler-917
Kepler-918 b,1.74,5.08,Ice Giant,1,2016,Kepler-918
Kepler-919 b,2.25,20.04,Gas Giant,1,2016,Kepler-919
Kepler-92 b,3.51,115.72,Dwarf Planet,0,2013,Kepler-92
Kepler-92 c,2.6,75.52,Proto Planet,1,2013,Kepler-92
Kepler-92 d,2.067,8.42,Gas Giant,1,2015,Kepler-92
Kepler-920 b,2.42,34.25,Chthonian Planet,1,2016,Kepler-920
Kepler-920 c,3.8,66.22,Gas Giant,0,2016,Kepler-920
Kepler-921 b,2.87,10.37,Dwarf Planet,1,2016,Kepler-921
Kepler-922 b,1.42,89.96,Proto Planet,0,2016,Kepler-922
Kepler-923 b,1.38,30.92,Chthonian Planet,1,2016,Kepler-923
Kepler-924 b,3.07,51.08,Gas Giant,1,2016,Kepler-924
Kepler-925 b,2.34,48.56,Chthonian Planet,0,2016,Kepler-925
Kepler-926 b,2.31,28.36,Proto Planet,0,2016,Kepler-926
Kepler-927 b,1.72,105.97,Ice Giant,1,2016,Kepler-927
Kepler-928 b,1.59,23.34,Dwarf Planet,0,2016,Kepler-928
Kepler-929 b,1.11,2.28,Ice Giant,0,2016,Kepler-929
Kepler-93 b,1.478,32.19,Dwarf Planet,0,2014,Kepler-93
Kepler-93 c,,112.72,Proto Planet,1,2014,Kepler-93
Kepler-930 b,2.13,55.68,Ice Giant,1,2016,Kepler-930
Kepler-931 b,1.33,73.79,Ice Giant,1,2016,Kepler-931
Kepler-932 b,1.37,77.15,Dwarf Planet,0,2016,Kepler-932
Kepler-933 b,2.46,56.88,Proto Planet,1,2016,Kepler-933
Kepler-934 b,2.09,66.38,Proto Planet,1,2016,Kepler-934
Kepler-935 b,1.35,32.77,Proto Planet,1,2016,Kepler-935
Kepler-936 b,1.45,118.79,Gas Giant,0,2016,Kepler-936
Kepler-937 b,3.72,113.9,Chthonian Planet,1,2016,Kepler-937
Kepler-937 c,2.67,36.25,Proto Planet,0,2016,Kepler-937
Kepler-938 b,2.22,19.84,Chthonian Planet,0,2016,Kepler-938
Kepler-939 b,1.75,68.75,Proto Planet,0,2016,Kepler-939
Kepler-94 b,3.51,11.75,Proto Planet,0,2014,Kepler-94
Kepler-94 c,12.5,62.79,Ice Giant,1,2014,Kepler-94
Kepler-940 b,3.34,103.44,Proto Planet,1,2016,Kepler-940
Kepler-941 b,3.08,83.86,Chthonian Planet,0,2016,Kepler-941
Kepler-942 b,2.13,113.44,Garden World,0,2016,Kepler-942
Kepler-943 b,5.93,54.07,Proto Planet,0,2016,Kepler-943
Kepler-944 b,2.63,37.19,Proto Planet,1,2016,Kepler-944
Kepler-945 b,2.63,33.58,Proto Planet,0,2016,Kepler-945
Kepler-946 b,1.93,83.67,Proto Planet,1,2016,Kepler-946
Kepler-947 b,2.28,108.92,Dwarf Planet,1,2016,Kepler-947
Kepler-948 b,1.85,54.23,Dwarf Planet,1,2016,Kepler-948
Kepler-949 b,2.91,79.22,Proto Planet,1,2016,Kepler-949
Kepler-949 c,2.97,6.55,Gas Giant,0,2023,Kepler-949
Kepler-95 b,3.42,20.44,Gas Giant,0,2014,Kepler-95
Kepler-950 b,8.98,61.85,Proto Planet,1,2016,Kepler-950
Kepler-951 b,5.59,46.04,Gas Giant,1,2016,Kepler-951
Kepler-952 b,7.65,104.26,Gas Giant,0,2016,Kepler-952
Kepler-953 b,4.21,1.93,Chthonian Planet,1,2016,Kepler-953
Kepler-953 c,1.19,31.54,Proto Planet,0,2016,Kepler-953
Kepler-954 b,2.32,0.95,Proto Planet,0,2016,Kepler-954
Kepler-955 b,3.13,61,Dwarf Planet,1,2016,Kepler-955
Kepler-956 b,3,17.86,Proto Planet,0,2016,Kepler-956
Kepler-957 b,5.5,0.76,Gas Giant,1,2016,Kepler-957
Kepler-958 b,2.06,11.88,Chthonian Planet,1,2016,Kepler-958
Kepler-959 b,4.38,56.84,Proto Planet,0,2016,Kepler-959
Kepler-96 b,2.67,29.32,Proto Planet,1,2014,Kepler-96
Kepler-960 b,2.29,21.86,Dwarf Planet,0,2016,Kepler-960
Kepler-961 b,2.55,30.97,Dwarf Planet,0,2016,Kepler-961
Kepler-962 b,1.97,107.08,Dwarf Planet,1,2016,Kepler-962
Kepler-963 b,2.66,91.18,Proto Planet,0,2016,Kepler-963
Kepler-963 c,0.6,54.85,Dwarf Planet,1,2024,Kepler-963
Kepler-964 b,2.12,49.08,Ice Giant,0,2016,Kepler-964
Kepler-965 b,3.38,113.02,Garden World,0,2016,Kepler-965
Kepler-966 b,4.13,95.92,Garden World,0,2016,Kepler-966
Kepler-967 b,2.35,51.11,Dwarf Planet,1,2016,Kepler-967
Kepler-967 c,3.65,68.34,Garden World,0,2016,Kepler-967
Kepler-968 b,2,18.72,Ice Giant,0,2016,Kepler-968
Kepler-968 c,1.69,35.05,Proto Planet,1,2016,Kepler-968
Kepler-969 b,2.07,70.93,Ice Giant,1,2016,Kepler-969
Kepler-969 c,0.99,8.59,Garden World,1,2016,Kepler-969
Kepler-97 b,1.48,73,Garden World,1,2014,Kepler-97
Kepler-97 c,,62.08,Dwarf Planet,0,2014,Kepler-97
Kepler-970 b,2.609,93.75,Chthonian Planet,0,2016,Kepler-970
Kepler-971 b,2.13,107.2,Chthonian Planet,1,2016,Kepler-971
Kepler-972 b,4.65,76.09,Garden World,0,2016,Kepler-972
Kepler-973 b,1.96,91.12,Proto Planet,1,2016,Kepler-973
Kepler-974 b,1.57,53.15,Proto Planet,0,2016,Kepler-974
Kepler-975 b,1.48,61.91,Ice Giant,0,2016,Kepler-975
Kepler-975 c,10.69,100.17,Chthonian Planet,1,2023,Kepler-975
Kepler-976 b,3.96,89.67,Dwarf Planet,0,2016,Kepler-976
Kepler-977 b,2.62,85.15,Gas Giant,1,2016,Kepler-977
Kepler-978 b,2.99,4.35,Proto Planet,1,2016,Kepler-978
Kepler-979 b,2.72,63.52,Ice Giant,1,2016,Kepler-979
Kepler-98 b,1.99,74.69,Gas Giant,1,2014,Kepler-98
Kepler-980 b,2.67,7.04,Gas Giant,1,2016,Kepler-980
Kepler-981 b,2.31,89.74,Chthonian Planet,1,2016,Kepler-981
Kepler-982 b,2.25,118.89,Ice Giant,0,2016,Kepler-982
Kepler-983 b,2.36,58.81,Gas Giant,0,2016,Kepler-983
Kepler-984 b,2.12,102.21,Dwarf Planet,1,2016,Kepler-984
Kepler-985 b,2.98,37.36,Proto Planet,0,2016,Kepler-985
Kepler-986 b,2.36,45.61,Ice Giant,1,2016,Kepler-986
Kepler-987 b,3.26,12.31,Chthonian Planet,0,2016,Kepler-987
Kepler-988 b,2.07,66.99,Dwarf Planet,1,2016,Kepler-988
Kepler-989 b,2.21,111.74,Ice Giant,1,2016,Kepler-989
Kepler-99 b,1.48,6.38,Proto Planet,0,2014,Kepler-99
Kepler-990 b,2.6,80.21,Gas Giant,0,2016,Kepler-990
Kepler-990 c,1.53,9.14,Dwarf Planet,1,2016,Kepler-990
Kepler-991 b,2.54,12.54,Gas Giant,1,2016,Kepler-991
Kepler-992 b,1.62,110.22,Gas Giant,0,2016,Kepler-992
Kepler-993 b,2.97,56.59,Gas Giant,1,2016,Kepler-993
Kepler-994 b,1.6,98.43,Gas Giant,1,2016,Kepler-994
Kepler-995 b,2.7,43.68,Chthonian Planet,1,2016,Kepler-995
Kepler-996 b,1.98,102.28,Proto Planet,0,2016,Kepler-996
Kepler-997 b,1.36,69.85,Garden World,0,2016,Kepler-997
Kepler-998 b,2.32,113.16,Chthonian Planet,1,2016,Kepler-998
Kepler-999 b,2.34,90.31,Ice Giant,0,2016,Kepler-999
L 168-9 b,1.63,96.28,Dwarf Planet,0,2020,L 168-9
L 363-38 b,2,81.14,Ice Giant,0,2023,L 363-38
L 98-59 b,0.85,104.8,Chthonian Planet,0,2019,L 98-59
L 98-59 c,1.385,113.84,Ice Giant,0,2019,L 98-59
L 98-59 d,1.521,93.84,Garden World,0,2019,L 98-59
L 98-59 e,1.56,85.45,Gas Giant,1,2021,L 98-59
LHS 1140 b,1.73,104.19,Proto Planet,1,2017,LHS 1140
LHS 1140 c,1.272,57.26,Dwarf Planet,0,2018,LHS 1140
LHS 1478 b,1.242,35.23,Proto Planet,0,2021,LHS 1478
LHS 1678 b,0.685,105.46,Proto Planet,1,2021,LHS 1678
LHS 1678 c,0.941,96.25,Dwarf Planet,1,2021,LHS 1678
LHS 1678 d,0.981,100.63,Chthonian Planet,0,2024,LHS 1678
LHS 1815 b,1.088,95.39,Gas Giant,1,2020,LHS 1815
LHS 3154 b,3.69,30.25,Garden World,1,2023,LHS 3154
LHS 3844 b,1.303,104.3,Gas Giant,0,2019,LHS 3844
LHS 475 b,0.991,13.13,Proto Planet,1,2023,LHS 475
LP 714-47 b,4.7,15.09,Gas Giant,0,2020,LP 714-47
LP 791-18 b,1.212,19.85,Proto Planet,0,2019,LP 791-18
LP 791-18 c,2.438,21.41,Proto Planet,1,2019,LP 791-18
LP 791-18 d,1.032,2.18,Chthonian Planet,0,2023,LP 791-18
LP 890-9 b,1.32,18.99,Gas Giant,0,2022,LP 890-9
LP 890-9 c,1.367,86.82,Gas Giant,0,2022,LP 890-9
LSPM J2116+0234 b,3.71,7.11,Ice Giant,1,2019,LSPM J2116+0234
LTT 1445 A b,1.18,44.35,Chthonian Planet,1,2019,LTT 1445
LTT 1445 A c,1.147,72.51,Chthonian Planet,1,2022,LTT 1445
LTT 3780 b,1.325,69.45,Proto Planet,0,2020,LTT 3780
